degradation_mode,severity_fraction,strategy,channel,sample_weighted_exceedance_fraction,quantity
B_increase,0.2,SINGLE_CONTROLLER_HELD_OUT,joint,0.014294117647058823,simulation-based threshold-exceedance sensitivity
B_increase,0.2,DURATION_POOLED_GLOBAL,r_y,0.01188235294117647,simulation-based threshold-exceedance sensitivity
B_increase,0.2,DURATION_POOLED_GLOBAL,r_u,0.01163235294117647,simulation-based threshold-exceedance sensitivity
B_increase,0.2,DURATION_POOLED_GLOBAL,joint,0.012191176470588235,simulation-based threshold-exceedance sensitivity
B_increase,0.2,CONTROLLER_BALANCED_GLOBAL,r_y,0.015720588235294118,simulation-based threshold-exceedance sensitivity
B_increase,0.2,CONTROLLER_BALANCED_GLOBAL,r_u,0.016455882352941178,simulation-based threshold-exceedance sensitivity
B_increase,0.2,CONTROLLER_BALANCED_GLOBAL,joint,0.014573529411764706,simulation-based threshold-exceedance sensitivity
B_increase,0.2,DURATION_POOLED_LOCO,r_y,0.012794117647058824,simulation-based threshold-exceedance sensitivity
B_increase,0.2,DURATION_POOLED_LOCO,r_u,0.01375,simulation-based threshold-exceedance sensitivity
B_increase,0.2,DURATION_POOLED_LOCO,joint,0.013,simulation-based threshold-exceedance sensitivity
B_increase,0.3,SINGLE_CONTROLLER_HELD_OUT,r_y,0.023323529411764705,simulation-based threshold-exceedance sensitivity
B_increase,0.3,SINGLE_CONTROLLER_HELD_OUT,r_u,0.015897058823529413,simulation-based threshold-exceedance sensitivity
B_increase,0.3,SINGLE_CONTROLLER_HELD_OUT,joint,0.024073529411764705,simulation-based threshold-exceedance sensitivity
B_increase,0.3,DURATION_POOLED_GLOBAL,r_y,0.018426470588235294,simulation-based threshold-exceedance sensitivity
B_increase,0.3,DURATION_POOLED_GLOBAL,r_u,0.01675,simulation-based threshold-exceedance sensitivity
B_increase,0.3,DURATION_POOLED_GLOBAL,joint,0.02251470588235294,simulation-based threshold-exceedance sensitivity
B_increase,0.3,CONTROLLER_BALANCED_GLOBAL,r_y,0.023852941176470587,simulation-based threshold-exceedance sensitivity
B_increase,0.3,CONTROLLER_BALANCED_GLOBAL,r_u,0.02260294117647059,simulation-based threshold-exceedance sensitivity
B_increase,0.3,CONTROLLER_BALANCED_GLOBAL,joint,0.027352941176470587,simulation-based threshold-exceedance sensitivity
B_increase,0.3,DURATION_POOLED_LOCO,r_y,0.019,simulation-based threshold-exceedance sensitivity
B_increase,0.3,DURATION_POOLED_LOCO,r_u,0.018191176470588235,simulation-based threshold-exceedance sensitivity
B_increase,0.3,DURATION_POOLED_LOCO,joint,0.023338235294117646,simulation-based threshold-exceedance sensitivity
