method,evaluation_controller,calibration_controller,channel,evaluation_samples,exceedance_count
SINGLE_CONTROLLER_TRANSFER,C05,C04,r_u,4000,19
SINGLE_CONTROLLER_TRANSFER,C05,C04,joint,4000,40
SINGLE_CONTROLLER_TRANSFER,C06,C04,r_y,4000,34
SINGLE_CONTROLLER_TRANSFER,C06,C04,r_u,4000,74
SINGLE_CONTROLLER_TRANSFER,C06,C04,joint,4000,34
SINGLE_CONTROLLER_TRANSFER,C07,C04,r_y,4800,45
SINGLE_CONTROLLER_TRANSFER,C07,C04,r_u,4800,0
SINGLE_CONTROLLER_TRANSFER,C07,C04,joint,4800,58
SINGLE_CONTROLLER_TRANSFER,C08,C04,r_y,3200,73
SINGLE_CONTROLLER_TRANSFER,C08,C04,r_u,3200,103
SINGLE_CONTROLLER_TRANSFER,C08,C04,joint,3200,98
SINGLE_CONTROLLER_TRANSFER,C09,C04,r_y,4000,36
SINGLE_CONTROLLER_TRANSFER,C09,C04,r_u,4000,2
SINGLE_CONTROLLER_TRANSFER,C09,C04,joint,4000,45
