degradation_mode,severity_fraction,strategy,evaluation_controller,channel,evaluation_cycles,evaluation_samples,quantity,exceedance_count
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C09,joint,5,4000,experimental healthy sample FAR,19
A_reduction,0.0,DURATION_POOLED_LOCO,C09,r_y,5,4000,experimental healthy sample FAR,9
A_reduction,0.0,DURATION_POOLED_LOCO,C09,r_u,5,4000,experimental healthy sample FAR,0
A_reduction,0.0,DURATION_POOLED_LOCO,C09,joint,5,4000,experimental healthy sample FAR,18
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,138
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,145
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,122
A_reduction,0.05,DURATION_POOLED_GLOBAL,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,195
A_reduction,0.05,DURATION_POOLED_GLOBAL,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,259
A_reduction,0.05,DURATION_POOLED_GLOBAL,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,193
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,218
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,340
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,217
A_reduction,0.05,DURATION_POOLED_LOCO,C01,r_y,12,9600,simulation-based threshold-exceedance sensitivity,204
A_reduction,0.05,DURATION_POOLED_LOCO,C01,r_u,12,9600,simulation-based threshold-exceedance sensitivity,292
A_reduction,0.05,DURATION_POOLED_LOCO,C01,joint,12,9600,simulation-based threshold-exceedance sensitivity,208
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,160
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,154
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C02,joint,22,17600,simulation-based threshold-exceedance sensitivity,202
A_reduction,0.05,DURATION_POOLED_GLOBAL,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,204
A_reduction,0.05,DURATION_POOLED_GLOBAL,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,326
A_reduction,0.05,DURATION_POOLED_GLOBAL,C02,joint,22,17600,simulation-based threshold-exceedance sensitivity,203
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,292
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,430
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C02,joint,22,17600,simulation-based threshold-exceedance sensitivity,236
A_reduction,0.05,DURATION_POOLED_LOCO,C02,r_y,22,17600,simulation-based threshold-exceedance sensitivity,224
A_reduction,0.05,DURATION_POOLED_LOCO,C02,r_u,22,17600,simulation-based threshold-exceedance sensitivity,387
A_reduction,0.05,DURATION_POOLED_LOCO,C02,joint,22,17600,simulation-based threshold-exceedance sensitivity,202
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C03,r_y,14,11200,simulation-based threshold-exceedance sensitivity,179
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C03,r_u,14,11200,simulation-based threshold-exceedance sensitivity,101
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C03,joint,14,11200,simulation-based threshold-exceedance sensitivity,162
A_reduction,0.05,DURATION_POOLED_GLOBAL,C03,r_y,14,11200,simulation-based threshold-exceedance sensitivity,163
A_reduction,0.05,DURATION_POOLED_GLOBAL,C03,r_u,14,11200,simulation-based threshold-exceedance sensitivity,105
A_reduction,0.05,DURATION_POOLED_GLOBAL,C03,joint,14,11200,simulation-based threshold-exceedance sensitivity,167
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C03,r_y,14,11200,simulation-based threshold-exceedance sensitivity,216
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C03,r_u,14,11200,simulation-based threshold-exceedance sensitivity,174
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C03,joint,14,11200,simulation-based threshold-exceedance sensitivity,201
A_reduction,0.05,DURATION_POOLED_LOCO,C03,r_y,14,11200,simulation-based threshold-exceedance sensitivity,192
A_reduction,0.05,DURATION_POOLED_LOCO,C03,r_u,14,11200,simulation-based threshold-exceedance sensitivity,108
A_reduction,0.05,DURATION_POOLED_LOCO,C03,joint,14,11200,simulation-based threshold-exceedance sensitivity,189
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C04,r_y,12,9600,simulation-based threshold-exceedance sensitivity,69
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C04,r_u,12,9600,simulation-based threshold-exceedance sensitivity,99
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C04,joint,12,9600,simulation-based threshold-exceedance sensitivity,572
A_reduction,0.05,DURATION_POOLED_GLOBAL,C04,r_y,12,9600,simulation-based threshold-exceedance sensitivity,29
A_reduction,0.05,DURATION_POOLED_GLOBAL,C04,r_u,12,9600,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_GLOBAL,C04,joint,12,9600,simulation-based threshold-exceedance sensitivity,34
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C04,r_y,12,9600,simulation-based threshold-exceedance sensitivity,49
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C04,r_u,12,9600,simulation-based threshold-exceedance sensitivity,10
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C04,joint,12,9600,simulation-based threshold-exceedance sensitivity,40
A_reduction,0.05,DURATION_POOLED_LOCO,C04,r_y,12,9600,simulation-based threshold-exceedance sensitivity,29
A_reduction,0.05,DURATION_POOLED_LOCO,C04,r_u,12,9600,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_LOCO,C04,joint,12,9600,simulation-based threshold-exceedance sensitivity,34
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C05,r_y,5,4000,simulation-based threshold-exceedance sensitivity,28
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C05,r_u,5,4000,simulation-based threshold-exceedance sensitivity,42
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C05,joint,5,4000,simulation-based threshold-exceedance sensitivity,27
A_reduction,0.05,DURATION_POOLED_GLOBAL,C05,r_y,5,4000,simulation-based threshold-exceedance sensitivity,9
A_reduction,0.05,DURATION_POOLED_GLOBAL,C05,r_u,5,4000,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_GLOBAL,C05,joint,5,4000,simulation-based threshold-exceedance sensitivity,12
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C05,r_y,5,4000,simulation-based threshold-exceedance sensitivity,12
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C05,r_u,5,4000,simulation-based threshold-exceedance sensitivity,3
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C05,joint,5,4000,simulation-based threshold-exceedance sensitivity,13
A_reduction,0.05,DURATION_POOLED_LOCO,C05,r_y,5,4000,simulation-based threshold-exceedance sensitivity,9
A_reduction,0.05,DURATION_POOLED_LOCO,C05,r_u,5,4000,simulation-based threshold-exceedance sensitivity,0
A_reduction,0.05,DURATION_POOLED_LOCO,C05,joint,5,4000,simulation-based threshold-exceedance sensitivity,12
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C06,r_y,5,4000,simulation-based threshold-exceedance sensitivity,41
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C06,r_u,5,4000,simulation-based threshold-exceedance sensitivity,34
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C06,joint,5,4000,simulation-based threshold-exceedance sensitivity,417
A_reduction,0.05,DURATION_POOLED_GLOBAL,C06,r_y,5,4000,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,DURATION_POOLED_GLOBAL,C06,r_u,5,4000,simulation-based threshold-exceedance sensitivity,4
A_reduction,0.05,DURATION_POOLED_GLOBAL,C06,joint,5,4000,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C06,r_y,5,4000,simulation-based threshold-exceedance sensitivity,22
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C06,r_u,5,4000,simulation-based threshold-exceedance sensitivity,20
A_reduction,0.05,CONTROLLER_BALANCED_GLOBAL,C06,joint,5,4000,simulation-based threshold-exceedance sensitivity,17
A_reduction,0.05,DURATION_POOLED_LOCO,C06,r_y,5,4000,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,DURATION_POOLED_LOCO,C06,r_u,5,4000,simulation-based threshold-exceedance sensitivity,3
A_reduction,0.05,DURATION_POOLED_LOCO,C06,joint,5,4000,simulation-based threshold-exceedance sensitivity,15
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C07,r_y,6,4800,simulation-based threshold-exceedance sensitivity,30
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C07,r_u,6,4800,simulation-based threshold-exceedance sensitivity,68
A_reduction,0.05,SINGLE_CONTROLLER_HELD_OUT,C07,joint,6,4800,simulation-based threshold-exceedance sensitivity,32
