nominal_target_far,source_controller,evaluation_controller,channel,evaluation_samples,exceedance_count
0.02,C02,C04,joint,9600,947
0.02,C02,C05,r_y,4000,39
0.02,C02,C05,r_u,4000,0
0.02,C02,C05,joint,4000,382
0.02,C02,C06,r_y,4000,33
0.02,C02,C06,r_u,4000,12
0.02,C02,C06,joint,4000,32
0.02,C02,C07,r_y,4800,43
0.02,C02,C07,r_u,4800,0
0.02,C02,C07,joint,4800,474
0.02,C02,C08,r_y,3200,67
0.02,C02,C08,r_u,3200,37
0.02,C02,C08,joint,3200,84
0.02,C02,C09,r_y,4000,29
0.02,C02,C09,r_u,4000,0
0.02,C02,C09,joint,4000,384
0.02,C03,C01,r_y,9600,229
0.02,C03,C01,r_u,9600,372
0.02,C03,C01,joint,9600,179
0.02,C03,C02,r_y,17600,293
0.02,C03,C02,r_u,17600,721
0.02,C03,C02,joint,17600,185
0.02,C03,C04,r_y,9600,79
0.02,C03,C04,r_u,9600,21
0.02,C03,C04,joint,9600,78
0.02,C03,C05,r_y,4000,34
0.02,C03,C05,r_u,4000,3
0.02,C03,C05,joint,4000,26
0.02,C03,C06,r_y,4000,28
0.02,C03,C06,r_u,4000,32
0.02,C03,C06,joint,4000,24
0.02,C03,C07,r_y,4800,34
0.02,C03,C07,r_u,4800,0
0.02,C03,C07,joint,4800,42
0.02,C03,C08,r_y,3200,58
0.02,C03,C08,r_u,3200,71
0.02,C03,C08,joint,3200,55
0.02,C03,C09,r_y,4000,20
0.02,C03,C09,r_u,4000,0
0.02,C03,C09,joint,4000,32
0.02,C04,C01,r_y,9600,332
0.02,C04,C01,r_u,9600,1416
0.02,C04,C01,joint,9600,470
0.02,C04,C02,r_y,17600,507
0.02,C04,C02,r_u,17600,3483
0.02,C04,C02,joint,17600,741
0.02,C04,C03,r_y,11200,448
0.02,C04,C03,r_u,11200,2497
0.02,C04,C03,joint,11200,493
0.02,C04,C05,r_y,4000,50
0.02,C04,C05,r_u,4000,60
0.02,C04,C05,joint,4000,58
0.02,C04,C06,r_y,4000,47
0.02,C04,C06,r_u,4000,465
0.02,C04,C06,joint,4000,42
0.02,C04,C07,r_y,4800,70
0.02,C04,C07,r_u,4800,11
0.02,C04,C07,joint,4800,474
0.02,C04,C08,r_y,3200,106
0.02,C04,C08,r_u,3200,408
0.02,C04,C08,joint,3200,126
0.02,C04,C09,r_y,4000,72
0.02,C04,C09,r_u,4000,21
0.02,C04,C09,joint,4000,381
0.05,C01,C02,r_y,17600,814
0.05,C01,C02,r_u,17600,1510
0.05,C01,C02,joint,17600,501
0.05,C01,C03,r_y,11200,640
0.05,C01,C03,r_u,11200,235
0.05,C01,C03,joint,11200,1487
0.05,C01,C04,r_y,9600,334
0.05,C01,C04,r_u,9600,24
0.05,C01,C04,joint,9600,1014
0.05,C01,C05,r_y,4000,117
0.05,C01,C05,r_u,4000,3
0.05,C01,C05,joint,4000,410
0.05,C01,C06,r_y,4000,114
0.05,C01,C06,r_u,4000,40
0.05,C01,C06,joint,4000,418
0.05,C01,C07,r_y,4800,136
0.05,C01,C07,r_u,4800,0
0.05,C01,C07,joint,4800,535
0.05,C01,C08,r_y,3200,154
0.05,C01,C08,r_u,3200,75
0.05,C01,C08,joint,3200,381
0.05,C01,C09,r_y,4000,127
0.05,C01,C09,r_u,4000,0
0.05,C01,C09,joint,4000,415
0.05,C02,C01,r_y,9600,510
0.05,C02,C01,r_u,9600,384
0.05,C02,C01,joint,9600,1031
0.05,C02,C03,r_y,11200,663
0.05,C02,C03,r_u,11200,226
0.05,C02,C03,joint,11200,1489
0.05,C02,C04,r_y,9600,347
0.05,C02,C04,r_u,9600,21
0.05,C02,C04,joint,9600,1013
0.05,C02,C05,r_y,4000,123
0.05,C02,C05,r_u,4000,3
0.05,C02,C05,joint,4000,418
0.05,C02,C06,r_y,4000,124
0.05,C02,C06,r_u,4000,34
0.05,C02,C06,joint,4000,418
0.05,C02,C07,r_y,4800,143
0.05,C02,C07,r_u,4800,0
0.05,C02,C07,joint,4800,539
0.05,C02,C08,r_y,3200,157
0.05,C02,C08,r_u,3200,71
0.05,C02,C08,joint,3200,382
0.05,C02,C09,r_y,4000,128
0.05,C02,C09,r_u,4000,0
0.05,C02,C09,joint,4000,416
0.05,C03,C01,r_y,9600,413
0.05,C03,C01,r_u,9600,1364
0.05,C03,C01,joint,9600,245
0.05,C03,C02,r_y,17600,703
0.05,C03,C02,r_u,17600,2666
0.05,C03,C02,joint,17600,364
0.05,C03,C04,r_y,9600,262
0.05,C03,C04,r_u,9600,114
0.05,C03,C04,joint,9600,957
0.05,C03,C05,r_y,4000,88
0.05,C03,C05,r_u,4000,23
0.05,C03,C05,joint,4000,392
0.05,C03,C06,r_y,4000,81
0.05,C03,C06,r_u,4000,162
0.05,C03,C06,joint,4000,41
0.05,C03,C07,r_y,4800,105
0.05,C03,C07,r_u,4800,0
0.05,C03,C07,joint,4800,493
0.05,C03,C08,r_y,3200,135
0.05,C03,C08,r_u,3200,123
0.05,C03,C08,joint,3200,226
0.05,C03,C09,r_y,4000,103
0.05,C03,C09,r_u,4000,2
0.05,C03,C09,joint,4000,389
0.05,C04,C01,r_y,9600,675
0.05,C04,C01,r_u,9600,1443
0.05,C04,C01,joint,9600,489
