calibration_controller_count,calibration_controllers,evaluation_controller,channel,evaluation_cycle_count,pooling_method,calibration_cycle_count,selection_repetitions,unseen_controller_far
1,C04,C01,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.14062499999999997
1,C04,C01,joint,12,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.042395833333333334
1,C04,C01,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.042708333333333334
1,C04,C02,r_y,22,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.021988636363636363
1,C04,C02,r_y,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.021931818181818184
1,C04,C02,r_u,22,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.13056818181818183
1,C04,C02,r_u,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.1301136363636364
1,C04,C02,joint,22,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.03306818181818182
1,C04,C02,joint,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03318181818181818
1,C04,C03,r_y,14,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.02473214285714286
1,C04,C03,r_y,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.02473214285714286
1,C04,C03,r_u,14,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.03428571428571429
1,C04,C03,r_u,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03392857142857143
1,C04,C03,joint,14,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.03678571428571429
1,C04,C03,joint,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03633928571428573
1,C04,C05,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.01
1,C04,C05,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01
1,C04,C05,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00475
1,C04,C05,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00475
1,C04,C05,joint,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.01
1,C04,C05,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009375000000000001
1,C04,C06,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0085
1,C04,C06,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0085
1,C04,C06,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0185
1,C04,C06,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0175
1,C04,C06,joint,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0085
1,C04,C06,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0085
1,C04,C07,r_y,6,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.009375
1,C04,C07,r_y,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009375
1,C04,C07,r_u,6,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C04,C07,r_u,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C04,C07,joint,6,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.012083333333333333
1,C04,C07,joint,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009687499999999998
1,C04,C08,r_y,4,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0228125
1,C04,C08,r_y,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0228125
1,C04,C08,r_u,4,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0321875
1,C04,C08,r_u,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0315625
1,C04,C08,joint,4,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.030625
1,C04,C08,joint,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.029531250000000002
1,C04,C09,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.009000000000000001
1,C04,C09,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009000000000000001
1,C04,C09,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0005
1,C04,C09,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00025
1,C04,C09,joint,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.01125
1,C04,C09,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00825
1,C05,C01,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.025520833333333336
1,C05,C01,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.025520833333333336
1,C05,C01,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.1453125
1,C05,C01,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.1453125
1,C05,C01,joint,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.032187499999999994
1,C05,C01,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03239583333333333
1,C05,C02,r_y,22,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.02034090909090909
1,C05,C02,r_y,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.02034090909090909
1,C05,C02,r_u,22,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.1752840909090909
1,C05,C02,r_u,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.1752840909090909
1,C05,C02,joint,22,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.02556818181818182
1,C05,C02,joint,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.026079545454545452
1,C05,C03,r_y,14,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.02383928571428571
1,C05,C03,r_y,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.02383928571428571
1,C05,C03,r_u,14,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.1430357142857143
1,C05,C03,r_u,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.14330357142857145
1,C05,C03,joint,14,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.025535714285714283
1,C05,C03,joint,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.025803571428571426
1,C05,C04,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.009583333333333333
1,C05,C04,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009583333333333333
1,C05,C04,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.015937499999999997
1,C05,C04,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01614583333333333
1,C05,C04,joint,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.009166666666666667
1,C05,C04,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009270833333333334
1,C05,C06,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.00825
1,C05,C06,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00825
1,C05,C06,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.11325
1,C05,C06,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.11325
1,C05,C06,joint,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.008
1,C05,C06,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.008
1,C05,C07,r_y,6,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.008958333333333334
1,C05,C07,r_y,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.008958333333333334
1,C05,C07,r_u,6,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0010416666666666667
1,C05,C07,r_u,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0010416666666666667
1,C05,C07,joint,6,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.008958333333333334
1,C05,C07,joint,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.009583333333333333
1,C05,C08,r_y,4,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0209375
1,C05,C08,r_y,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0209375
1,C05,C08,r_u,4,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.12031249999999999
1,C05,C08,r_u,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.1209375
1,C05,C08,joint,4,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0221875
1,C05,C08,joint,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0221875
1,C05,C09,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0072499999999999995
1,C05,C09,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0072499999999999995
1,C05,C09,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.002
1,C05,C09,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0025
1,C05,C09,joint,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.006500000000000001
1,C05,C09,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.007000000000000001
1,C06,C01,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.03333333333333333
1,C06,C01,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03364583333333333
1,C06,C01,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0484375
1,C06,C01,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.06604166666666668
1,C06,C01,joint,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.036979166666666674
1,C06,C01,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03822916666666667
1,C06,C02,r_y,22,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.028522727272727276
1,C06,C02,r_y,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.028693181818181823
1,C06,C02,r_u,22,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.08045454545454547
1,C06,C02,r_u,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.10869318181818179
1,C06,C02,joint,22,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0275
1,C06,C02,joint,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.028125
1,C06,C03,r_y,14,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.03928571428571429
1,C06,C03,r_y,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03928571428571429
1,C06,C03,r_u,14,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.02089285714285714
1,C06,C03,r_u,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.021339285714285717
1,C06,C03,joint,14,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.03928571428571429
1,C06,C03,joint,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.04017857142857143
1,C06,C04,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.01854166666666666
1,C06,C04,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01854166666666666
1,C06,C04,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0025
1,C06,C04,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0026041666666666665
1,C06,C04,joint,12,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.10541666666666667
1,C06,C04,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.10625000000000001
1,C06,C05,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.01075
1,C06,C05,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.01075
1,C06,C05,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.00075
1,C06,C05,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00075
1,C06,C05,joint,5,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.09749999999999999
1,C06,C05,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.097
1,C06,C07,r_y,6,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.012708333333333334
1,C06,C07,r_y,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.012708333333333334
1,C06,C07,r_u,6,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0
1,C06,C07,r_u,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C06,C07,joint,6,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.10541666666666666
1,C06,C07,joint,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.10541666666666666
1,C06,C08,r_y,4,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0328125
1,C06,C08,r_y,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0328125
1,C06,C08,r_u,4,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.0234375
1,C06,C08,r_u,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.024687499999999998
1,C06,C08,joint,4,DURATION_WEIGHTED_ALL_CYCLES,5,1,0.030625
1,C06,C08,joint,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.03125
