category,calibration_controller,evaluation_controller,calibration_run,evaluation_run,direction,calibration_cycles,evaluation_cycles,channel,evaluation_samples,exceedance_count
CROSS_CONTROLLER,C01,C08,10,17,RUN_TO_RUN,10,4,r_u,3200,1
CROSS_CONTROLLER,C01,C08,10,17,RUN_TO_RUN,10,4,joint,3200,11
CROSS_CONTROLLER,C01,C09,10,19,RUN_TO_RUN,10,5,r_y,4000,0
CROSS_CONTROLLER,C01,C09,10,19,RUN_TO_RUN,10,5,r_u,4000,0
CROSS_CONTROLLER,C01,C09,10,19,RUN_TO_RUN,10,5,joint,4000,3
CROSS_CONTROLLER,C02,C01,11,9,RUN_TO_RUN,22,2,r_y,1600,21
CROSS_CONTROLLER,C02,C01,11,9,RUN_TO_RUN,22,2,r_u,1600,16
CROSS_CONTROLLER,C02,C01,11,9,RUN_TO_RUN,22,2,joint,1600,25
CROSS_CONTROLLER,C02,C01,11,10,RUN_TO_RUN,22,10,r_y,8000,127
CROSS_CONTROLLER,C02,C01,11,10,RUN_TO_RUN,22,10,r_u,8000,121
CROSS_CONTROLLER,C02,C01,11,10,RUN_TO_RUN,22,10,joint,8000,144
CROSS_CONTROLLER,C02,C03,11,12,RUN_TO_RUN,22,14,r_y,11200,66
CROSS_CONTROLLER,C02,C03,11,12,RUN_TO_RUN,22,14,r_u,11200,20
CROSS_CONTROLLER,C02,C03,11,12,RUN_TO_RUN,22,14,joint,11200,145
CROSS_CONTROLLER,C02,C04,11,13,RUN_TO_RUN,22,6,r_y,4800,21
CROSS_CONTROLLER,C02,C04,11,13,RUN_TO_RUN,22,6,r_u,4800,0
CROSS_CONTROLLER,C02,C04,11,13,RUN_TO_RUN,22,6,joint,4800,30
CROSS_CONTROLLER,C02,C04,11,18,RUN_TO_RUN,22,6,r_y,4800,23
CROSS_CONTROLLER,C02,C04,11,18,RUN_TO_RUN,22,6,r_u,4800,0
CROSS_CONTROLLER,C02,C04,11,18,RUN_TO_RUN,22,6,joint,4800,34
CROSS_CONTROLLER,C02,C05,11,14,RUN_TO_RUN,22,5,r_y,4000,12
CROSS_CONTROLLER,C02,C05,11,14,RUN_TO_RUN,22,5,r_u,4000,0
CROSS_CONTROLLER,C02,C05,11,14,RUN_TO_RUN,22,5,joint,4000,25
CROSS_CONTROLLER,C02,C06,11,15,RUN_TO_RUN,22,5,r_y,4000,16
CROSS_CONTROLLER,C02,C06,11,15,RUN_TO_RUN,22,5,r_u,4000,0
CROSS_CONTROLLER,C02,C06,11,15,RUN_TO_RUN,22,5,joint,4000,21
CROSS_CONTROLLER,C02,C07,11,16,RUN_TO_RUN,22,6,r_y,4800,10
CROSS_CONTROLLER,C02,C07,11,16,RUN_TO_RUN,22,6,r_u,4800,0
CROSS_CONTROLLER,C02,C07,11,16,RUN_TO_RUN,22,6,joint,4800,34
CROSS_CONTROLLER,C02,C08,11,17,RUN_TO_RUN,22,4,r_y,3200,26
CROSS_CONTROLLER,C02,C08,11,17,RUN_TO_RUN,22,4,r_u,3200,6
CROSS_CONTROLLER,C02,C08,11,17,RUN_TO_RUN,22,4,joint,3200,49
CROSS_CONTROLLER,C02,C09,11,19,RUN_TO_RUN,22,5,r_y,4000,8
CROSS_CONTROLLER,C02,C09,11,19,RUN_TO_RUN,22,5,r_u,4000,0
CROSS_CONTROLLER,C02,C09,11,19,RUN_TO_RUN,22,5,joint,4000,19
CROSS_CONTROLLER,C03,C01,12,9,RUN_TO_RUN,14,2,r_y,1600,23
CROSS_CONTROLLER,C03,C01,12,9,RUN_TO_RUN,14,2,r_u,1600,26
CROSS_CONTROLLER,C03,C01,12,9,RUN_TO_RUN,14,2,joint,1600,23
CROSS_CONTROLLER,C03,C01,12,10,RUN_TO_RUN,14,10,r_y,8000,140
CROSS_CONTROLLER,C03,C01,12,10,RUN_TO_RUN,14,10,r_u,8000,187
CROSS_CONTROLLER,C03,C01,12,10,RUN_TO_RUN,14,10,joint,8000,134
CROSS_CONTROLLER,C03,C02,12,11,RUN_TO_RUN,14,22,r_y,17600,202
CROSS_CONTROLLER,C03,C02,12,11,RUN_TO_RUN,14,22,r_u,17600,288
CROSS_CONTROLLER,C03,C02,12,11,RUN_TO_RUN,14,22,joint,17600,139
CROSS_CONTROLLER,C03,C04,12,13,RUN_TO_RUN,14,6,r_y,4800,27
CROSS_CONTROLLER,C03,C04,12,13,RUN_TO_RUN,14,6,r_u,4800,0
CROSS_CONTROLLER,C03,C04,12,13,RUN_TO_RUN,14,6,joint,4800,21
CROSS_CONTROLLER,C03,C04,12,18,RUN_TO_RUN,14,6,r_y,4800,23
CROSS_CONTROLLER,C03,C04,12,18,RUN_TO_RUN,14,6,r_u,4800,0
CROSS_CONTROLLER,C03,C04,12,18,RUN_TO_RUN,14,6,joint,4800,26
CROSS_CONTROLLER,C03,C05,12,14,RUN_TO_RUN,14,5,r_y,4000,14
CROSS_CONTROLLER,C03,C05,12,14,RUN_TO_RUN,14,5,r_u,4000,0
CROSS_CONTROLLER,C03,C05,12,14,RUN_TO_RUN,14,5,joint,4000,23
CROSS_CONTROLLER,C03,C06,12,15,RUN_TO_RUN,14,5,r_y,4000,20
CROSS_CONTROLLER,C03,C06,12,15,RUN_TO_RUN,14,5,r_u,4000,5
CROSS_CONTROLLER,C03,C06,12,15,RUN_TO_RUN,14,5,joint,4000,18
CROSS_CONTROLLER,C03,C07,12,16,RUN_TO_RUN,14,6,r_y,4800,11
CROSS_CONTROLLER,C03,C07,12,16,RUN_TO_RUN,14,6,r_u,4800,0
CROSS_CONTROLLER,C03,C07,12,16,RUN_TO_RUN,14,6,joint,4800,31
CROSS_CONTROLLER,C03,C08,12,17,RUN_TO_RUN,14,4,r_y,3200,30
CROSS_CONTROLLER,C03,C08,12,17,RUN_TO_RUN,14,4,r_u,3200,20
CROSS_CONTROLLER,C03,C08,12,17,RUN_TO_RUN,14,4,joint,3200,38
CROSS_CONTROLLER,C03,C09,12,19,RUN_TO_RUN,14,5,r_y,4000,9
CROSS_CONTROLLER,C03,C09,12,19,RUN_TO_RUN,14,5,r_u,4000,0
CROSS_CONTROLLER,C03,C09,12,19,RUN_TO_RUN,14,5,joint,4000,15
CROSS_CONTROLLER,C04,C01,13,9,RUN_TO_RUN,6,2,r_y,1600,33
CROSS_CONTROLLER,C04,C01,13,9,RUN_TO_RUN,6,2,r_u,1600,207
CROSS_CONTROLLER,C04,C01,13,9,RUN_TO_RUN,6,2,joint,1600,61
CROSS_CONTROLLER,C04,C01,13,10,RUN_TO_RUN,6,10,r_y,8000,215
CROSS_CONTROLLER,C04,C01,13,10,RUN_TO_RUN,6,10,r_u,8000,1154
CROSS_CONTROLLER,C04,C01,13,10,RUN_TO_RUN,6,10,joint,8000,435
CROSS_CONTROLLER,C04,C02,13,11,RUN_TO_RUN,6,22,r_y,17600,386
CROSS_CONTROLLER,C04,C02,13,11,RUN_TO_RUN,6,22,r_u,17600,2664
CROSS_CONTROLLER,C04,C02,13,11,RUN_TO_RUN,6,22,joint,17600,699
CROSS_CONTROLLER,C04,C03,13,12,RUN_TO_RUN,6,14,r_y,11200,277
CROSS_CONTROLLER,C04,C03,13,12,RUN_TO_RUN,6,14,r_u,11200,516
CROSS_CONTROLLER,C04,C03,13,12,RUN_TO_RUN,6,14,joint,11200,480
SAME_CONTROLLER_CROSS_RUN,C04,C04,13,18,RUN_TO_RUN,6,6,r_y,4800,46
SAME_CONTROLLER_CROSS_RUN,C04,C04,13,18,RUN_TO_RUN,6,6,r_u,4800,62
SAME_CONTROLLER_CROSS_RUN,C04,C04,13,18,RUN_TO_RUN,6,6,joint,4800,54
CROSS_CONTROLLER,C04,C05,13,14,RUN_TO_RUN,6,5,r_y,4000,40
CROSS_CONTROLLER,C04,C05,13,14,RUN_TO_RUN,6,5,r_u,4000,23
CROSS_CONTROLLER,C04,C05,13,14,RUN_TO_RUN,6,5,joint,4000,40
CROSS_CONTROLLER,C04,C06,13,15,RUN_TO_RUN,6,5,r_y,4000,34
CROSS_CONTROLLER,C04,C06,13,15,RUN_TO_RUN,6,5,r_u,4000,140
CROSS_CONTROLLER,C04,C06,13,15,RUN_TO_RUN,6,5,joint,4000,37
CROSS_CONTROLLER,C04,C07,13,16,RUN_TO_RUN,6,6,r_y,4800,45
CROSS_CONTROLLER,C04,C07,13,16,RUN_TO_RUN,6,6,r_u,4800,0
CROSS_CONTROLLER,C04,C07,13,16,RUN_TO_RUN,6,6,joint,4800,62
CROSS_CONTROLLER,C04,C08,13,17,RUN_TO_RUN,6,4,r_y,3200,73
CROSS_CONTROLLER,C04,C08,13,17,RUN_TO_RUN,6,4,r_u,3200,118
CROSS_CONTROLLER,C04,C08,13,17,RUN_TO_RUN,6,4,joint,3200,124
CROSS_CONTROLLER,C04,C09,13,19,RUN_TO_RUN,6,5,r_y,4000,36
CROSS_CONTROLLER,C04,C09,13,19,RUN_TO_RUN,6,5,r_u,4000,2
CROSS_CONTROLLER,C04,C09,13,19,RUN_TO_RUN,6,5,joint,4000,45
CROSS_CONTROLLER,C04,C01,18,9,RUN_TO_RUN,6,2,r_y,1600,33
CROSS_CONTROLLER,C04,C01,18,9,RUN_TO_RUN,6,2,r_u,1600,206
CROSS_CONTROLLER,C04,C01,18,9,RUN_TO_RUN,6,2,joint,1600,44
CROSS_CONTROLLER,C04,C01,18,10,RUN_TO_RUN,6,10,r_y,8000,215
CROSS_CONTROLLER,C04,C01,18,10,RUN_TO_RUN,6,10,r_u,8000,1135
CROSS_CONTROLLER,C04,C01,18,10,RUN_TO_RUN,6,10,joint,8000,319
CROSS_CONTROLLER,C04,C02,18,11,RUN_TO_RUN,6,22,r_y,17600,387
CROSS_CONTROLLER,C04,C02,18,11,RUN_TO_RUN,6,22,r_u,17600,2286
CROSS_CONTROLLER,C04,C02,18,11,RUN_TO_RUN,6,22,joint,17600,512
CROSS_CONTROLLER,C04,C03,18,12,RUN_TO_RUN,6,14,r_y,11200,277
CROSS_CONTROLLER,C04,C03,18,12,RUN_TO_RUN,6,14,r_u,11200,368
CROSS_CONTROLLER,C04,C03,18,12,RUN_TO_RUN,6,14,joint,11200,372
SAME_CONTROLLER_CROSS_RUN,C04,C04,18,13,RUN_TO_RUN,6,6,r_y,4800,48
SAME_CONTROLLER_CROSS_RUN,C04,C04,18,13,RUN_TO_RUN,6,6,r_u,4800,35
SAME_CONTROLLER_CROSS_RUN,C04,C04,18,13,RUN_TO_RUN,6,6,joint,4800,46
CROSS_CONTROLLER,C04,C05,18,14,RUN_TO_RUN,6,5,r_y,4000,40
CROSS_CONTROLLER,C04,C05,18,14,RUN_TO_RUN,6,5,r_u,4000,16
CROSS_CONTROLLER,C04,C05,18,14,RUN_TO_RUN,6,5,joint,4000,40
CROSS_CONTROLLER,C04,C06,18,15,RUN_TO_RUN,6,5,r_y,4000,34
CROSS_CONTROLLER,C04,C06,18,15,RUN_TO_RUN,6,5,r_u,4000,69
CROSS_CONTROLLER,C04,C06,18,15,RUN_TO_RUN,6,5,joint,4000,34
CROSS_CONTROLLER,C04,C07,18,16,RUN_TO_RUN,6,6,r_y,4800,45
CROSS_CONTROLLER,C04,C07,18,16,RUN_TO_RUN,6,6,r_u,4800,0
CROSS_CONTROLLER,C04,C07,18,16,RUN_TO_RUN,6,6,joint,4800,52
CROSS_CONTROLLER,C04,C08,18,17,RUN_TO_RUN,6,4,r_y,3200,73
CROSS_CONTROLLER,C04,C08,18,17,RUN_TO_RUN,6,4,r_u,3200,99
CROSS_CONTROLLER,C04,C08,18,17,RUN_TO_RUN,6,4,joint,3200,87
CROSS_CONTROLLER,C04,C09,18,19,RUN_TO_RUN,6,5,r_y,4000,36
CROSS_CONTROLLER,C04,C09,18,19,RUN_TO_RUN,6,5,r_u,4000,1
CROSS_CONTROLLER,C04,C09,18,19,RUN_TO_RUN,6,5,joint,4000,43
CROSS_CONTROLLER,C05,C01,14,9,RUN_TO_RUN,5,2,r_y,1600,33
CROSS_CONTROLLER,C05,C01,14,9,RUN_TO_RUN,5,2,r_u,1600,213
CROSS_CONTROLLER,C05,C01,14,9,RUN_TO_RUN,5,2,joint,1600,41
CROSS_CONTROLLER,C05,C01,14,10,RUN_TO_RUN,5,10,r_y,8000,212
CROSS_CONTROLLER,C05,C01,14,10,RUN_TO_RUN,5,10,r_u,8000,1182
CROSS_CONTROLLER,C05,C01,14,10,RUN_TO_RUN,5,10,joint,8000,268
CROSS_CONTROLLER,C05,C02,14,11,RUN_TO_RUN,5,22,r_y,17600,358
CROSS_CONTROLLER,C05,C02,14,11,RUN_TO_RUN,5,22,r_u,17600,3085
CROSS_CONTROLLER,C05,C02,14,11,RUN_TO_RUN,5,22,joint,17600,450
CROSS_CONTROLLER,C05,C03,14,12,RUN_TO_RUN,5,14,r_y,11200,267
CROSS_CONTROLLER,C05,C03,14,12,RUN_TO_RUN,5,14,r_u,11200,1602
CROSS_CONTROLLER,C05,C03,14,12,RUN_TO_RUN,5,14,joint,11200,286
CROSS_CONTROLLER,C05,C04,14,13,RUN_TO_RUN,5,6,r_y,4800,47
CROSS_CONTROLLER,C05,C04,14,13,RUN_TO_RUN,5,6,r_u,4800,67
CROSS_CONTROLLER,C05,C04,14,13,RUN_TO_RUN,5,6,joint,4800,44
CROSS_CONTROLLER,C05,C04,14,18,RUN_TO_RUN,5,6,r_y,4800,45
CROSS_CONTROLLER,C05,C04,14,18,RUN_TO_RUN,5,6,r_u,4800,86
CROSS_CONTROLLER,C05,C04,14,18,RUN_TO_RUN,5,6,joint,4800,44
CROSS_CONTROLLER,C05,C06,14,15,RUN_TO_RUN,5,5,r_y,4000,33
CROSS_CONTROLLER,C05,C06,14,15,RUN_TO_RUN,5,5,r_u,4000,453
CROSS_CONTROLLER,C05,C06,14,15,RUN_TO_RUN,5,5,joint,4000,32
CROSS_CONTROLLER,C05,C07,14,16,RUN_TO_RUN,5,6,r_y,4800,43
CROSS_CONTROLLER,C05,C07,14,16,RUN_TO_RUN,5,6,r_u,4800,5
CROSS_CONTROLLER,C05,C07,14,16,RUN_TO_RUN,5,6,joint,4800,43
CROSS_CONTROLLER,C05,C08,14,17,RUN_TO_RUN,5,4,r_y,3200,67
CROSS_CONTROLLER,C05,C08,14,17,RUN_TO_RUN,5,4,r_u,3200,385
CROSS_CONTROLLER,C05,C08,14,17,RUN_TO_RUN,5,4,joint,3200,71
CROSS_CONTROLLER,C05,C09,14,19,RUN_TO_RUN,5,5,r_y,4000,29
CROSS_CONTROLLER,C05,C09,14,19,RUN_TO_RUN,5,5,r_u,4000,8
CROSS_CONTROLLER,C05,C09,14,19,RUN_TO_RUN,5,5,joint,4000,26
CROSS_CONTROLLER,C06,C01,15,9,RUN_TO_RUN,5,2,r_y,1600,48
CROSS_CONTROLLER,C06,C01,15,9,RUN_TO_RUN,5,2,r_u,1600,45
CROSS_CONTROLLER,C06,C01,15,9,RUN_TO_RUN,5,2,joint,1600,40
CROSS_CONTROLLER,C06,C01,15,10,RUN_TO_RUN,5,10,r_y,8000,272
CROSS_CONTROLLER,C06,C01,15,10,RUN_TO_RUN,5,10,r_u,8000,420
CROSS_CONTROLLER,C06,C01,15,10,RUN_TO_RUN,5,10,joint,8000,315
CROSS_CONTROLLER,C06,C02,15,11,RUN_TO_RUN,5,22,r_y,17600,502
CROSS_CONTROLLER,C06,C02,15,11,RUN_TO_RUN,5,22,r_u,17600,1416
CROSS_CONTROLLER,C06,C02,15,11,RUN_TO_RUN,5,22,joint,17600,484
CROSS_CONTROLLER,C06,C03,15,12,RUN_TO_RUN,5,14,r_y,11200,440
CROSS_CONTROLLER,C06,C03,15,12,RUN_TO_RUN,5,14,r_u,11200,234
CROSS_CONTROLLER,C06,C03,15,12,RUN_TO_RUN,5,14,joint,11200,440
CROSS_CONTROLLER,C06,C04,15,13,RUN_TO_RUN,5,6,r_y,4800,93
CROSS_CONTROLLER,C06,C04,15,13,RUN_TO_RUN,5,6,r_u,4800,10
CROSS_CONTROLLER,C06,C04,15,13,RUN_TO_RUN,5,6,joint,4800,495
CROSS_CONTROLLER,C06,C04,15,18,RUN_TO_RUN,5,6,r_y,4800,85
CROSS_CONTROLLER,C06,C04,15,18,RUN_TO_RUN,5,6,r_u,4800,14
CROSS_CONTROLLER,C06,C04,15,18,RUN_TO_RUN,5,6,joint,4800,517
CROSS_CONTROLLER,C06,C05,15,14,RUN_TO_RUN,5,5,r_y,4000,43
CROSS_CONTROLLER,C06,C05,15,14,RUN_TO_RUN,5,5,r_u,4000,3
CROSS_CONTROLLER,C06,C05,15,14,RUN_TO_RUN,5,5,joint,4000,390
CROSS_CONTROLLER,C06,C07,15,16,RUN_TO_RUN,5,6,r_y,4800,61
CROSS_CONTROLLER,C06,C07,15,16,RUN_TO_RUN,5,6,r_u,4800,0
CROSS_CONTROLLER,C06,C07,15,16,RUN_TO_RUN,5,6,joint,4800,506
CROSS_CONTROLLER,C06,C08,15,17,RUN_TO_RUN,5,4,r_y,3200,105
CROSS_CONTROLLER,C06,C08,15,17,RUN_TO_RUN,5,4,r_u,3200,75
CROSS_CONTROLLER,C06,C08,15,17,RUN_TO_RUN,5,4,joint,3200,98
CROSS_CONTROLLER,C06,C09,15,19,RUN_TO_RUN,5,5,r_y,4000,64
CROSS_CONTROLLER,C06,C09,15,19,RUN_TO_RUN,5,5,r_u,4000,0
CROSS_CONTROLLER,C06,C09,15,19,RUN_TO_RUN,5,5,joint,4000,397
CROSS_CONTROLLER,C07,C01,16,9,RUN_TO_RUN,6,2,r_y,1600,34
CROSS_CONTROLLER,C07,C01,16,9,RUN_TO_RUN,6,2,r_u,1600,238
CROSS_CONTROLLER,C07,C01,16,9,RUN_TO_RUN,6,2,joint,1600,106
CROSS_CONTROLLER,C07,C01,16,10,RUN_TO_RUN,6,10,r_y,8000,222
